concurso,bola1,bola2,bola3,bola4,bola5,bola6,bola7,bola8,bola9,bola10,bola11,bola12,bola13,bola14,bola15,bola16
407,2,4,5,6,8,9,10,11,12,13,18,19,22,23,24,25
408,1,2,4,9,10,11,12,13,14,15,16,18,20,21,23,24
409,3,4,6,7,9,10,11,12,13,15,17,18,19,20,21,24
410,2,3,5,6,7,8,11,12,13,14,15,16,19,20,22,24
411,2,4,5,6,7,8,9,12,16,17,18,19,20,21,22,24
412,2,4,6,8,9,10,12,13,14,15,16,18,19,21,22,23
413,1,2,3,5,6,8,9,10,11,12,17,18,19,20,21,24
414,4,5,7,8,9,10,11,15,17,18,19,21,22,23,24,25
415,1,3,5,6,7,10,11,12,13,14,17,18,20,22,23,25
416,2,3,4,6,8,11,13,14,15,17,19,20,21,22,24,25
417,2,3,4,6,10,12,13,14,16,17,18,21,22,23,24,25
418,1,2,3,4,6,8,9,10,12,13,14,15,20,22,23,25
419,3,5,6,7,10,12,13,14,15,16,17,18,19,20,23,25
420,1,2,4,6,7,9,11,13,14,15,18,19,21,22,24,25
421,3,4,5,6,7,9,11,13,15,17,18,20,22,23,24,25
422,1,3,5,6,7,8,9,10,11,12,14,19,22,23,24,25
423,2,4,8,9,11,12,13,14,15,17,18,19,20,21,24,25
424,2,3,4,7,8,12,13,14,15,16,17,18,20,21,23,24
425,3,4,5,6,7,8,10,11,12,13,15,17,18,19,22,24
426,2,4,5,6,7,8,9,13,15,16,19,20,21,22,24,25
427,1,3,4,5,6,7,8,9,11,13,14,16,18,20,21,25
428,2,3,4,5,6,7,8,9,10,12,13,21,22,23,24,25
429,2,4,5,7,8,11,12,13,14,16,17,18,21,22,24,25
430,1,2,5,7,8,11,12,13,14,15,16,17,18,19,22,24
431,1,3,4,6,11,12,13,14,16,18,19,21,22,23,24,25
432,3,4,5,6,8,10,11,14,15,16,17,18,19,20,21,23
433,1,2,6,9,10,11,14,15,16,18,20,21,22,23,24,25
434,1,2,3,5,6,7,11,12,13,14,16,17,19,20,24,25
435,1,4,5,6,8,9,10,14,15,16,17,18,21,22,23,25
436,1,2,3,5,6,7,10,12,13,14,16,17,19,20,21,25
437,1,2,3,6,8,10,12,14,15,18,19,20,21,22,23,25
438,3,6,7,8,9,12,13,14,15,16,17,18,20,22,23,25
439,1,2,4,5,7,8,9,11,13,14,19,21,22,23,24,25
440,1,3,5,6,7,11,12,13,14,16,18,20,21,23,24,25
441,2,3,4,5,7,9,11,12,13,14,16,17,18,19,20,21
442,1,2,3,4,5,6,7,8,12,13,16,18,20,21,22,25
443,1,2,4,7,8,9,10,12,13,14,15,17,18,19,23,24
444,1,2,3,4,5,6,8,9,11,14,15,17,18,19,21,22
445,1,2,3,6,7,9,10,11,14,15,16,17,19,20,21,25
446,1,2,3,5,6,7,10,12,13,14,15,16,17,18,20,24
447,1,2,3,4,7,10,11,13,16,17,18,20,21,22,23,24
448,4,5,6,7,8,9,12,14,15,16,17,18,19,22,24,25
449,1,2,3,4,6,7,8,9,11,12,15,19,20,22,23,25
450,1,3,5,6,7,8,9,10,11,12,13,14,15,19,24,25
451,1,2,3,6,7,9,10,11,12,14,15,16,17,20,22,24
452,1,3,4,5,6,7,8,9,11,12,15,18,19,21,24,25
453,3,4,6,7,8,9,13,14,15,16,18,19,21,22,24,25
454,1,2,4,5,6,7,8,9,12,14,17,18,20,21,22,25
455,1,2,5,7,8,9,10,11,15,16,17,18,19,20,21,23
456,1,2,4,5,6,10,11,12,16,17,19,20,21,22,24,25
457,1,2,4,5,6,7,9,12,13,15,19,20,22,23,24,25
458,4,5,7,8,9,10,11,14,15,16,18,20,21,22,24,25
459,2,3,4,8,10,11,12,13,15,17,19,20,21,23,24,25
460,1,2,3,5,6,7,8,10,12,14,16,17,18,21,24,25
461,1,3,4,5,7,8,11,12,14,16,17,18,20,22,23,25
462,1,2,4,5,7,8,9,11,12,14,17,18,19,22,24,25
463,1,4,5,7,9,10,11,12,14,17,19,20,21,22,23,24
464,2,3,4,5,6,7,8,12,14,15,19,20,21,22,23,24
465,2,3,4,6,7,9,11,12,13,16,17,18,21,23,24,25
466,1,2,5,8,9,10,11,15,17,18,19,20,21,23,24,25
467,2,3,4,5,6,7,8,9,11,13,18,20,22,23,24,25
468,2,3,5,7,8,9,11,12,13,14,16,17,18,19,20,22
469,1,2,5,6,10,11,14,15,17,18,19,20,21,22,23,24
470,1,2,3,8,9,10,11,12,14,16,17,19,20,21,23,25
471,2,5,6,7,9,10,12,13,14,16,18,20,21,23,24,25
472,1,2,3,6,8,10,13,14,15,18,19,20,21,23,24,25
473,2,4,5,6,7,9,10,12,13,14,16,19,20,21,22,23
474,3,4,6,8,10,12,13,15,16,17,18,19,20,21,24,25
475,1,2,3,5,6,7,8,9,10,13,14,15,17,19,20,23
476,1,2,4,5,7,10,11,13,14,15,16,20,21,22,23,25
477,1,2,3,5,8,10,11,14,18,19,20,21,22,23,24,25
478,1,2,4,5,9,10,11,12,13,14,15,18,20,23,24,25
479,2,5,6,7,8,9,10,12,14,17,18,20,22,23,24,25
480,1,2,4,5,8,10,11,13,14,16,17,21,22,23,24,25
481,1,2,4,5,6,8,9,10,11,14,15,17,18,21,24,25
482,2,3,6,8,10,12,13,14,15,16,19,20,21,22,23,25
483,2,4,5,6,7,10,11,12,13,14,16,17,18,19,22,25
484,6,7,8,9,10,11,13,14,16,17,19,20,21,22,24,25
485,1,3,4,5,6,7,10,14,15,16,17,18,21,22,23,24
486,1,3,5,6,7,8,9,10,11,14,15,18,20,21,22,24
487,3,5,7,8,9,10,12,13,16,17,18,19,21,22,23,24
488,1,2,3,4,8,10,12,13,14,16,18,19,22,23,24,25
489,1,3,4,5,6,7,8,9,13,14,16,17,19,20,24,25
490,2,3,4,5,7,9,10,12,13,15,16,18,20,21,23,24
491,2,4,5,6,7,8,10,11,14,15,17,19,20,21,24,25
492,2,3,4,5,8,9,10,11,13,15,17,18,20,22,23,24
493,2,3,5,6,8,9,10,11,13,15,19,20,21,23,24,25
494,1,3,5,6,7,9,10,12,13,14,16,17,21,23,24,25
495,1,2,3,4,5,6,7,9,10,11,14,17,18,20,22,23
496,1,2,3,4,7,8,9,10,11,14,16,17,19,22,24,25
497,1,2,3,4,5,7,9,10,12,14,16,20,22,23,24,25
498,1,2,3,4,6,8,9,11,13,14,17,19,20,22,23,24
499,1,2,3,5,7,11,12,13,14,18,20,21,22,23,24,25
500,2,3,4,5,6,8,10,11,12,14,17,18,20,21,24,25
501,1,2,3,4,7,8,11,13,14,16,17,18,19,22,23,25
502,1,3,4,5,7,8,9,10,12,14,15,16,17,19,22,23
503,2,4,5,6,9,10,11,12,13,14,15,17,19,20,22,23
504,3,4,5,6,7,8,10,11,13,14,15,18,20,21,22,25
505,1,2,3,4,6,7,8,9,11,13,15,18,20,21,22,24
506,1,2,3,4,5,6,7,10,11,12,13,14,16,18,19,23
507,3,4,5,6,8,9,10,12,13,14,18,20,21,22,24,25
508,2,5,7,8,9,11,12,13,15,18,19,20,21,22,24,25
509,1,2,3,5,6,9,10,11,13,15,17,18,19,20,24,25
510,1,3,4,6,7,10,12,14,15,16,17,19,21,22,24,25
511,1,3,4,5,9,10,12,13,14,16,17,19,20,21,23,24
512,4,5,6,7,8,9,10,11,15,16,18,19,20,22,23,24
513,2,3,4,5,6,9,10,12,13,16,17,18,20,23,24,25
514,1,2,4,5,6,7,11,12,13,14,15,16,19,22,23,24
515,2,5,6,9,10,11,14,15,16,17,18,19,20,22,23,25
516,1,2,4,5,7,9,10,12,13,14,15,18,19,20,24,25
517,1,2,4,5,6,11,12,15,16,17,18,19,21,23,24,25
518,1,2,3,4,5,8,9,11,12,14,17,18,19,20,23,24
519,2,3,4,8,9,10,11,12,14,15,20,21,22,23,24,25
520,3,4,5,6,7,8,11,12,13,14,15,18,20,22,23,25
521,1,2,3,4,5,6,9,13,14,16,17,20,21,23,24,25
522,1,2,6,7,8,9,10,12,15,16,17,18,21,22,23,24
523,2,4,6,7,9,10,11,12,14,17,18,20,21,22,23,24
524,2,3,5,6,7,8,9,10,11,12,13,16,17,18,22,24
525,1,2,5,7,9,10,11,13,14,16,17,19,20,21,23,24
526,1,2,3,5,8,9,11,12,14,16,18,19,20,22,23,24
527,3,4,6,8,9,10,11,12,15,16,17,20,21,22,23,25
528,1,3,4,5,6,8,9,10,12,16,18,20,21,22,23,25
529,1,2,4,6,7,8,12,13,15,16,17,19,20,21,22,24
530,1,2,4,5,6,7,10,11,12,13,15,18,19,22,23,25
531,1,2,3,4,6,8,9,10,14,16,17,18,19,20,21,24
532,1,3,4,6,7,11,12,13,14,16,18,19,20,22,24,25
533,1,3,5,6,7,8,10,11,12,13,18,19,20,21,22,24
534,1,2,3,4,6,8,9,10,11,12,16,17,18,19,21,23
535,6,7,8,9,10,12,14,15,16,17,18,20,21,22,23,25
536,1,2,3,4,6,7,8,10,11,12,16,18,19,20,22,24
537,1,2,4,5,6,9,10,11,13,14,15,16,18,20,23,24
538,1,2,4,5,6,7,8,9,12,14,15,16,18,20,21,23
539,1,2,3,4,7,11,12,14,16,17,18,19,20,22,23,24
540,2,3,4,6,7,8,10,12,13,14,15,16,19,22,23,24
541,3,4,6,7,8,9,10,12,13,14,16,20,21,22,23,25
542,1,3,6,7,8,10,11,13,15,16,17,19,20,22,23,24
543,2,3,6,7,8,11,12,13,14,16,18,19,20,21,22,25
544,3,4,5,6,8,10,11,14,15,16,17,18,20,22,23,24
545,1,3,4,5,7,9,10,11,12,13,17,19,20,21,22,25
546,2,3,4,8,9,10,11,12,13,14,16,19,20,22,23,25
547,1,2,5,6,7,10,11,13,14,15,16,18,19,22,24,25
548,1,3,5,6,8,10,13,14,15,16,18,21,22,23,24,25
549,3,4,8,9,10,11,12,13,15,16,17,18,19,20,21,22
550,1,2,3,4,7,8,9,10,14,15,17,19,21,22,24,25
551,5,6,8,9,10,12,13,14,15,16,17,19,20,22,23,24
552,4,7,8,9,10,11,12,13,14,19,20,21,22,23,24,25
553,2,4,5,7,8,12,14,15,18,19,20,21,22,23,24,25
554,1,2,3,6,8,9,11,13,15,16,17,19,20,21,24,25
555,2,3,4,5,6,8,9,10,11,12,14,18,21,23,24,25
556,2,3,8,10,11,12,13,15,17,18,20,21,22,23,24,25
557,2,3,5,6,7,9,12,13,14,16,18,19,20,23,24,25
558,1,3,4,5,8,9,11,12,13,14,15,16,17,18,22,23
559,2,4,5,6,7,9,13,14,15,16,17,18,20,21,23,24
560,1,2,3,4,5,9,10,11,12,14,18,19,21,23,24,25
561,1,2,3,6,8,9,10,12,15,18,19,20,21,22,23,24
562,1,2,3,6,11,12,13,14,15,16,18,19,20,21,22,23
563,3,4,6,7,11,12,13,15,16,17,18,19,20,22,23,25
564,1,2,3,5,6,7,10,13,14,15,16,18,19,22,23,25
565,1,3,5,7,8,11,12,15,16,17,19,20,21,22,23,25
566,1,4,5,6,7,9,10,11,12,15,16,17,20,21,24,25
567,2,3,4,5,6,8,11,12,13,14,16,17,19,20,22,23
568,4,6,7,8,9,10,11,12,13,14,15,19,22,23,24,25
569,3,4,5,6,8,9,11,12,16,17,19,21,22,23,24,25
570,1,2,3,4,5,6,9,11,12,13,14,15,17,22,23,24
571,1,2,3,4,5,8,13,14,15,16,18,20,21,22,23,25
572,1,3,4,8,9,10,13,15,16,17,18,19,20,21,22,24
573,1,4,5,6,9,10,12,13,14,16,17,19,21,22,23,24
574,3,5,6,10,12,14,15,16,17,18,19,21,22,23,24,25
575,1,2,3,4,6,7,9,10,11,14,15,16,18,19,20,22
576,1,2,3,4,5,7,8,10,11,15,17,18,19,23,24,25
577,2,4,8,11,13,14,15,16,17,18,19,20,21,22,23,24
578,1,2,6,8,11,12,13,14,15,16,18,20,21,22,23,25
579,2,3,4,6,10,11,12,13,15,18,19,20,21,22,24,25
580,1,3,4,5,8,9,10,11,12,13,17,19,20,23,24,25
581,2,4,5,6,7,8,10,12,13,14,17,18,22,23,24,25
582,1,4,5,6,8,9,10,11,12,13,14,15,16,23,24,25
583,1,5,6,7,9,10,12,13,15,16,18,19,21,22,24,25
584,1,2,3,4,5,7,8,10,14,15,16,19,20,23,24,25
585,2,3,4,6,7,8,9,10,13,14,15,18,19,21,24,25
586,1,3,4,7,8,9,10,13,14,16,18,19,20,22,23,25
587,2,3,6,7,8,9,10,11,12,13,16,19,21,23,24,25
588,1,2,3,4,5,6,7,9,10,11,16,18,19,20,21,25
589,1,2,3,4,6,7,9,10,13,14,19,20,21,23,24,25
590,1,4,5,6,7,8,9,10,12,13,14,18,20,22,23,24
591,1,2,3,4,7,8,10,13,14,15,16,21,22,23,24,25
592,2,3,4,5,6,8,9,11,14,15,18,19,20,21,22,23
593,1,2,3,4,7,8,11,12,14,16,18,20,21,22,23,25
594,1,5,6,7,10,11,12,13,14,15,16,17,20,21,23,24
595,2,3,4,5,6,10,11,12,16,17,18,19,20,21,23,24
596,2,4,6,8,9,10,11,12,13,14,15,17,21,22,24,25
597,1,2,3,5,6,7,10,11,14,16,18,20,21,22,23,24
598,1,2,3,6,7,9,10,11,12,13,15,19,21,22,23,24
599,1,2,5,6,9,10,12,13,14,15,16,17,19,20,22,25
600,2,3,4,5,6,9,10,12,13,15,16,18,19,20,21,22
601,1,2,4,6,9,11,13,14,16,17,18,19,20,21,22,25
602,2,3,4,5,6,10,11,12,13,15,16,17,18,20,23,24
603,2,3,4,5,6,7,9,10,12,14,15,16,20,21,22,24
604,1,3,5,6,7,8,9,11,13,14,15,18,19,20,22,24
605,2,3,4,6,7,10,11,15,17,18,19,20,21,23,24,25
606,3,4,5,7,9,10,13,14,16,17,18,19,21,22,24,25
607,1,4,6,8,10,12,14,15,16,17,18,19,20,22,23,24
608,1,2,5,6,7,9,10,11,13,14,15,16,18,22,24,25
609,1,2,3,6,7,9,10,11,12,13,15,16,18,21,23,24
610,1,2,3,4,7,8,9,10,11,12,17,18,19,20,21,25
611,1,2,3,4,5,8,10,11,14,16,17,21,22,23,24,25
612,2,3,6,7,8,10,11,13,14,15,18,19,20,22,23,25
613,1,3,6,8,9,11,12,13,14,15,16,18,21,23,24,25
614,1,2,3,7,8,9,10,11,14,15,16,18,19,21,24,25
615,1,2,4,5,8,9,10,11,12,14,15,17,20,21,22,25
616,1,2,3,4,6,7,9,11,12,14,15,16,17,20,21,22
617,1,2,3,4,6,7,8,10,12,15,16,17,18,19,23,24
618,2,3,5,6,8,9,10,11,12,13,14,16,17,18,22,24
619,1,2,3,4,6,7,8,9,13,14,15,16,19,20,21,25
620,1,3,5,9,10,13,15,16,17,18,19,21,22,23,24,25
621,3,4,5,6,8,10,13,15,16,18,19,20,21,22,23,25
622,1,2,5,6,7,8,9,10,11,14,15,17,20,21,22,25
623,1,3,5,6,8,9,12,14,15,17,18,19,21,22,23,24
624,2,4,5,7,8,9,10,12,13,14,17,18,20,22,23,24
625,1,2,3,4,5,9,10,14,15,16,17,20,21,22,23,24
626,2,3,4,5,9,11,12,14,15,16,19,20,22,23,24,25
627,1,2,3,4,8,9,10,13,14,17,18,20,22,23,24,25
628,2,3,4,5,6,7,9,10,11,12,13,14,15,16,17,21
629,3,4,5,6,7,9,10,12,13,15,16,17,18,20,21,24
630,2,4,5,6,7,10,11,13,15,16,17,18,19,20,21,25
631,1,3,5,7,8,10,11,12,13,14,15,20,21,22,24,25
632,1,3,4,5,6,8,11,13,14,15,16,18,20,21,22,24
633,1,3,4,8,10,11,12,13,14,16,18,19,20,21,23,25
634,1,2,5,6,8,9,10,11,12,14,15,16,17,18,20,24
635,1,4,5,7,8,9,10,11,12,13,14,16,17,22,23,24
636,1,3,4,6,7,8,9,11,13,15,16,17,18,20,22,23
637,2,4,6,7,10,11,12,15,16,17,19,20,22,23,24,25
638,1,2,4,5,6,8,11,12,13,14,17,20,21,22,23,24
639,2,3,4,5,7,8,10,11,13,15,18,20,22,23,24,25
640,3,5,7,9,12,13,15,16,17,19,20,21,22,23,24,25
641,1,4,8,9,10,12,13,14,15,16,18,19,21,22,23,24
642,1,2,5,6,7,8,9,10,12,17,19,20,21,22,23,24
643,1,2,4,5,6,7,8,9,11,12,13,14,19,21,22,25
644,2,3,4,5,6,7,8,9,10,11,15,16,17,19,20,22
645,1,3,5,6,8,9,12,13,14,15,16,18,19,21,23,24
646,1,3,4,6,7,8,11,12,13,15,16,17,20,21,22,23
647,3,5,6,7,9,10,11,12,16,17,20,21,22,23,24,25
648,1,2,3,5,7,8,12,13,14,15,16,17,18,21,22,23
649,1,2,5,6,9,10,11,12,15,16,17,19,20,22,23,24
650,1,2,3,4,6,7,8,9,10,13,14,15,16,18,23,25
651,3,5,6,8,9,12,13,14,15,16,18,19,20,21,23,24
652,1,2,3,4,5,6,7,9,11,12,15,16,17,21,22,25
653,1,2,6,8,11,12,13,14,15,16,19,20,21,22,24,25
654,2,4,6,8,12,13,14,15,16,17,19,21,22,23,24,25
655,1,2,3,4,6,8,9,14,15,17,18,21,22,23,24,25
656,3,4,5,10,12,14,15,16,17,18,19,20,21,22,23,24
657,2,3,5,6,7,11,12,13,14,16,17,19,20,21,23,24
658,2,3,4,5,6,7,9,10,11,12,14,15,17,18,21,25
659,3,4,5,8,9,11,12,13,14,16,17,18,20,21,23,25
660,1,2,4,7,8,9,11,13,14,15,16,17,18,22,23,24
661,1,2,3,4,6,7,8,9,10,11,13,15,20,21,23,24
662,2,3,4,6,7,8,9,12,13,15,16,17,19,20,23,24
663,1,2,4,7,8,9,11,12,14,15,17,18,19,22,23,24
664,1,4,5,6,7,8,9,10,11,15,18,19,20,21,24,25
665,1,2,6,7,8,9,10,12,13,14,15,16,18,19,23,25
666,1,2,3,4,6,11,12,13,15,16,18,20,21,22,24,25
667,1,3,4,6,7,8,10,12,13,14,16,18,20,22,23,24
668,1,2,5,6,8,9,10,15,16,17,19,20,21,22,23,24
669,1,2,3,5,6,7,8,10,11,12,15,16,19,22,24,25
670,2,5,6,7,8,10,12,13,16,17,18,19,20,22,24,25
671,1,3,4,5,8,9,10,12,13,14,16,18,19,20,24,25
672,1,4,5,7,8,9,11,13,14,17,18,19,21,22,23,24
673,1,4,6,9,10,11,12,14,15,17,18,19,20,22,23,24
674,1,2,4,5,8,9,10,11,12,13,16,18,19,20,21,25
675,1,3,4,7,9,11,13,14,15,17,18,19,20,22,23,24
676,1,2,3,4,5,6,7,10,11,13,15,16,19,20,24,25
677,1,3,4,5,6,7,8,9,10,13,14,17,21,22,23,25
678,1,2,4,7,8,10,11,12,14,15,16,17,21,22,23,25
679,1,2,3,4,5,11,12,16,17,18,19,20,21,23,24,25
680,1,3,4,5,6,9,10,12,13,15,16,20,21,22,23,25
681,1,3,4,5,6,9,10,11,12,14,17,19,20,21,22,25
682,2,3,4,5,6,7,10,12,13,16,18,19,22,23,24,25
683,1,2,3,5,6,8,10,12,13,14,15,16,20,21,22,24
684,2,3,6,7,8,10,11,12,15,18,19,20,21,23,24,25
685,1,2,4,5,7,8,9,10,12,13,14,16,17,20,21,22
686,1,2,6,7,8,9,11,12,13,14,15,16,20,22,24,25
687,1,4,5,6,7,8,9,11,12,14,15,16,19,20,22,24
688,3,5,7,8,9,10,12,13,14,15,16,19,20,21,24,25
689,2,4,5,6,7,8,10,11,12,13,14,15,19,20,21,24
690,1,4,5,6,8,10,13,15,16,17,18,19,20,21,23,25
691,1,2,3,6,8,9,12,13,15,16,17,18,19,23,24,25
692,1,2,3,7,8,10,11,12,13,15,16,18,19,22,23,24
693,1,2,3,5,6,7,8,10,15,17,20,21,22,23,24,25
694,1,2,3,5,7,8,10,11,16,18,19,20,21,23,24,25
695,1,2,5,8,9,10,12,14,16,17,18,19,20,22,23,24
696,1,2,3,4,5,7,10,12,13,14,15,17,18,20,22,25
697,1,3,4,6,8,11,12,13,14,17,18,21,22,23,24,25
698,1,2,3,4,5,6,7,8,9,10,13,18,21,22,24,25
699,1,2,5,8,9,11,12,15,16,18,19,20,21,22,23,25
700,2,3,4,5,9,10,12,13,15,16,17,18,19,23,24,25
701,1,2,3,4,6,8,10,13,16,17,18,21,22,23,24,25
702,1,3,5,8,9,11,12,13,14,15,17,18,19,21,22,23
703,1,3,4,5,13,14,15,16,17,18,19,20,21,22,23,24
704,2,6,7,8,9,10,13,14,15,17,18,19,21,23,24,25
705,1,4,6,7,11,12,13,15,16,17,19,20,21,22,23,24
706,4,5,6,8,10,11,12,13,14,16,18,19,21,22,24,25
707,1,4,5,6,7,8,14,15,17,18,19,20,21,22,24,25
708,2,3,4,5,6,7,8,11,13,16,17,19,20,21,22,23
709,1,3,5,6,7,9,12,13,14,15,16,18,19,23,24,25
710,1,2,4,6,9,12,14,15,16,17,18,19,20,22,24,25
711,2,6,8,9,10,11,12,13,14,15,16,17,18,21,23,24
712,3,4,5,6,7,8,10,12,13,16,17,19,20,22,23,24
713,1,2,4,5,6,7,8,9,10,11,12,15,18,19,22,23
714,1,2,3,6,7,8,9,10,11,12,13,14,15,16,19,23
715,1,3,5,6,7,8,11,12,14,15,16,18,20,21,23,25
716,1,2,3,4,5,6,7,8,12,13,17,18,19,21,22,23
717,1,2,3,4,7,10,13,14,16,17,19,20,21,22,24,25
718,1,4,6,7,11,12,13,14,15,16,18,19,20,21,22,25
719,2,3,4,5,6,7,11,12,16,17,18,20,21,22,24,25
720,1,3,8,10,12,13,14,15,16,17,18,19,21,22,24,25
721,1,2,4,5,6,8,9,12,13,16,17,19,20,21,23,24
722,1,2,4,6,7,9,13,14,15,16,20,21,22,23,24,25
723,3,4,5,6,7,9,12,13,15,17,18,21,22,23,24,25
724,1,5,6,7,8,9,12,13,15,16,17,18,21,23,24,25
725,1,2,3,5,6,9,10,12,13,14,15,18,19,20,21,25
726,1,4,5,6,8,9,10,13,14,15,16,19,22,23,24,25
727,2,3,4,5,6,7,8,9,13,14,17,18,20,21,22,23
728,2,3,5,6,7,11,12,13,15,16,17,18,20,22,23,25
729,1,5,6,7,10,13,14,15,17,19,20,21,22,23,24,25
730,1,3,6,7,8,9,10,11,13,14,15,19,20,23,24,25
731,2,7,9,10,11,14,15,17,18,19,20,21,22,23,24,25
732,1,2,4,5,8,10,12,13,14,15,17,19,21,22,23,24
733,1,2,3,4,5,7,10,12,13,14,16,17,18,20,21,24
734,2,3,4,5,8,9,10,11,14,15,17,18,19,21,22,23
735,1,2,3,4,5,6,8,9,10,11,12,15,20,21,22,24
736,1,2,3,4,6,9,10,12,16,17,18,19,20,21,23,24
737,1,3,4,6,8,10,12,13,15,16,17,18,19,20,23,24
738,1,3,5,6,7,11,12,13,15,16,17,19,20,22,23,24
739,2,3,5,6,7,11,13,14,15,16,17,18,20,23,24,25
740,1,2,3,7,8,9,11,13,14,15,17,20,21,22,23,24
741,2,4,5,6,7,9,10,13,15,16,20,21,22,23,24,25
742,1,2,3,4,6,9,12,13,14,17,19,21,22,23,24,25
743,1,2,3,5,6,7,8,9,10,11,12,14,15,16,17,24
744,3,4,5,9,10,11,13,14,15,16,19,20,21,22,24,25
745,1,2,4,5,6,7,9,10,11,12,13,14,15,16,19,24
746,1,6,7,9,11,12,13,14,15,16,17,19,21,23,24,25
747,3,5,7,8,9,10,11,13,14,15,17,18,19,20,24,25
748,1,2,3,4,5,7,9,10,11,12,13,16,20,21,23,25
749,1,2,4,5,6,9,11,12,13,14,16,18,19,20,21,24
750,1,6,7,8,9,11,12,14,16,17,18,19,21,22,23,25
751,3,6,7,9,10,12,14,15,16,17,19,20,21,22,23,24
752,2,3,4,5,6,7,8,9,12,13,14,15,20,21,22,23
753,2,3,4,7,8,10,11,13,15,16,17,19,21,22,23,24
754,3,6,7,9,10,11,13,15,17,18,20,21,22,23,24,25
755,1,2,3,4,5,6,8,12,13,14,16,19,21,23,24,25
756,2,3,4,5,8,10,11,12,13,15,16,18,20,22,23,24
757,1,4,5,7,9,11,12,13,15,16,17,20,21,23,24,25
758,3,4,7,8,13,14,15,16,17,18,19,20,21,22,23,24
759,1,3,5,8,9,10,12,16,17,18,19,20,22,23,24,25
760,1,2,4,6,7,9,11,14,16,17,19,20,21,22,23,24
761,2,3,4,5,8,10,12,13,14,15,17,18,19,22,24,25
762,2,4,5,6,8,9,10,11,12,13,14,15,16,20,24,25
763,1,3,4,6,7,8,9,11,12,14,16,17,19,21,23,25
764,1,3,4,7,8,9,11,14,15,16,19,21,22,23,24,25
765,1,2,4,5,6,7,9,12,13,14,15,17,18,19,22,24
766,2,3,6,7,10,12,13,15,17,18,19,20,21,23,24,25
767,1,6,7,8,9,10,12,13,15,16,17,18,19,20,22,24
768,1,5,6,7,8,10,11,13,15,17,18,19,20,21,23,25
769,1,2,3,5,9,10,12,13,14,17,19,20,21,22,24,25
770,2,3,6,7,9,10,11,12,16,17,18,19,20,21,22,23
771,1,4,5,6,9,12,14,15,16,18,19,20,21,22,23,25
772,4,5,6,7,8,10,14,15,16,17,18,21,22,23,24,25
773,1,2,4,5,6,8,11,12,15,16,17,19,20,22,23,25
774,1,6,7,8,9,10,12,14,15,18,20,21,22,23,24,25
775,3,6,7,8,9,10,11,12,13,14,15,16,17,18,21,24
776,1,2,3,5,6,7,8,9,11,12,14,19,20,21,24,25
777,1,2,3,6,7,9,11,13,15,16,17,18,19,20,21,25
778,1,2,3,6,7,10,11,12,13,14,15,16,19,20,23,24
779,2,3,5,6,7,8,10,11,12,13,14,15,16,19,22,24
780,3,6,7,8,9,10,13,15,16,18,19,20,22,23,24,25
781,2,3,6,7,9,10,13,15,17,18,19,20,21,22,23,25
782,2,3,4,5,6,7,8,9,12,16,20,21,22,23,24,25
783,2,3,4,5,7,8,11,12,13,15,16,17,19,20,24,25
784,1,3,4,5,6,12,13,14,15,16,17,18,20,21,22,23
785,1,2,3,7,9,10,11,12,13,15,16,17,21,23,24,25
786,3,4,5,6,8,10,13,14,15,16,17,18,19,23,24,25
787,1,2,3,4,6,9,11,12,13,16,17,19,20,21,22,25
788,1,2,8,10,11,12,13,16,17,18,19,20,21,22,23,24
789,1,3,6,8,10,11,12,13,14,15,16,19,21,22,24,25
790,1,3,5,7,11,12,14,15,16,17,19,20,21,23,24,25
791,1,2,3,5,6,7,9,13,14,16,17,18,20,23,24,25
792,1,3,4,6,8,10,14,15,18,19,20,21,22,23,24,25
793,2,3,4,5,8,9,10,11,12,13,17,19,20,23,24,25
794,1,2,3,4,5,6,7,8,9,10,12,15,18,20,21,24
795,1,2,5,6,7,9,11,12,13,16,17,18,19,20,21,23
796,1,3,5,6,7,8,9,11,13,14,15,16,18,19,24,25
797,3,4,5,6,8,9,10,11,12,13,14,15,22,23,24,25
798,1,3,4,5,7,8,10,11,13,14,15,16,19,20,23,24
799,1,2,4,7,8,10,13,14,15,16,18,19,21,22,23,25
800,2,3,4,5,9,11,12,13,14,15,18,19,22,23,24,25
801,1,3,4,5,6,7,8,9,10,13,14,17,18,20,23,24
802,1,2,7,9,10,11,12,13,16,17,18,20,21,22,23,24
803,1,2,3,4,5,7,8,10,12,14,15,19,20,21,22,23
804,2,3,5,6,7,8,9,13,14,16,17,19,20,22,23,25
805,1,3,5,6,8,9,11,13,14,18,19,20,22,23,24,25
806,1,3,4,7,8,10,11,12,14,16,17,18,19,21,22,23
807,1,2,3,5,6,8,9,10,12,13,14,16,18,19,23,24
808,2,3,4,6,7,10,12,14,15,17,18,19,20,21,22,23
809,1,3,4,5,6,9,10,11,13,14,15,16,20,21,22,24
810,1,2,4,7,10,12,13,14,16,17,20,21,22,23,24,25
811,2,3,5,6,8,11,12,13,17,18,20,21,22,23,24,25
812,1,3,4,7,8,9,11,12,15,18,19,20,21,23,24,25
813,3,4,5,6,7,9,11,14,16,19,20,21,22,23,24,25
814,1,3,5,6,9,10,13,14,15,17,18,19,20,21,24,25
815,1,2,5,6,7,9,11,13,14,15,17,19,20,21,22,23
